O*NET-SOC Code,Element ID,Element Name,Scale ID,Data Value,Title
11-1011.00,2.A.1.a,Reading Comprehension,IM,4.12,Chief Executives
11-1011.00,2.A.1.b,Active Listening,IM,4.00,Chief Executives
11-1011.00,2.A.1.c,Writing,IM,4.12,Chief Executives
11-1011.00,2.A.1.d,Speaking,IM,4.25,Chief Executives
11-1011.00,2.A.1.e,Mathematics,IM,3.25,Chief Executives
11-1011.00,2.A.1.f,Science,IM,1.62,Chief Executives
11-1011.00,2.A.2.a,Critical Thinking,IM,4.38,Chief Executives
11-1011.00,2.A.2.b,Active Learning,IM,3.75,Chief Executives
11-1011.00,2.A.2.c,Learning Strategies,IM,3.12,Chief Executives
11-1011.00,2.A.2.d,Monitoring,IM,4.00,Chief Executives
11-1011.00,2.B.1.a,Social Perceptiveness,IM,4.12,Chief Executives
11-1011.00,2.B.1.b,Coordination,IM,4.25,Chief Executives
11-1011.00,2.B.1.c,Persuasion,IM,4.00,Chief Executives
11-1011.00,2.B.1.d,Negotiation,IM,4.12,Chief Executives
11-1011.00,2.B.1.e,Instructing,IM,3.38,Chief Executives
11-1011.00,2.B.1.f,Service Orientation,IM,3.12,Chief Executives
11-1011.00,2.B.2.i,Complex Problem Solving,IM,4.38,Chief Executives
11-1011.00,2.B.3.a,Operations Analysis,IM,3.12,Chief Executives
11-1011.00,2.B.3.b,Technology Design,IM,1.75,Chief Executives
11-1011.00,2.B.3.c,Equipment Selection,IM,1.12,Chief Executives
11-1011.00,2.B.3.d,Installation,IM,1.00,Chief Executives
11-1011.00,2.B.3.e,Programming,IM,1.75,Chief Executives
11-1011.00,2.B.3.g,Operations Monitoring,IM,2.00,Chief Executives
11-1011.00,2.B.3.h,Operation and Control,IM,1.88,Chief Executives
11-1011.00,2.B.3.j,Equipment Maintenance,IM,1.00,Chief Executives
11-1011.00,2.B.3.k,Troubleshooting,IM,1.50,Chief Executives
11-1011.00,2.B.3.l,Repairing,IM,1.00,Chief Executives
11-1011.00,2.B.3.m,Quality Control Analysis,IM,1.88,Chief Executives
11-1011.00,2.B.4.e,Judgment and Decision Making,IM,4.75,Chief Executives
11-1011.00,2.B.4.g,Systems Analysis,IM,4.12,Chief Executives
11-1011.00,2.B.4.h,Systems Evaluation,IM,4.25,Chief Executives
11-1011.00,2.B.5.a,Time Management,IM,4.00,Chief Executives
11-1011.00,2.B.5.b,Management of Financial Resources,IM,4.25,Chief Executives
11-1011.00,2.B.5.c,Management of Material Resources,IM,4.00,Chief Executives
11-1011.00,2.B.5.d,Management of Personnel Resources,IM,4.25,Chief Executives
11-1011.03,2.A.1.a,Reading Comprehension,IM,4.00,Chief Sustainability Officers
11-1011.03,2.A.1.b,Active Listening,IM,4.00,Chief Sustainability Officers
11-1011.03,2.A.1.c,Writing,IM,4.12,Chief Sustainability Officers
11-1011.03,2.A.1.d,Speaking,IM,4.00,Chief Sustainability Officers
11-1011.03,2.A.1.e,Mathematics,IM,2.88,Chief Sustainability Officers
11-1011.03,2.A.1.f,Science,IM,2.12,Chief Sustainability Officers
11-1011.03,2.A.2.a,Critical Thinking,IM,4.12,Chief Sustainability Officers
11-1011.03,2.A.2.b,Active Learning,IM,3.75,Chief Sustainability Officers
11-1011.03,2.A.2.c,Learning Strategies,IM,3.38,Chief Sustainability Officers
11-1011.03,2.A.2.d,Monitoring,IM,3.75,Chief Sustainability Officers
11-1011.03,2.B.1.a,Social Perceptiveness,IM,3.88,Chief Sustainability Officers
11-1011.03,2.B.1.b,Coordination,IM,3.75,Chief Sustainability Officers
11-1011.03,2.B.1.c,Persuasion,IM,3.88,Chief Sustainability Officers
11-1011.03,2.B.1.d,Negotiation,IM,3.12,Chief Sustainability Officers
11-1011.03,2.B.1.e,Instructing,IM,3.25,Chief Sustainability Officers
11-1011.03,2.B.1.f,Service Orientation,IM,3.25,Chief Sustainability Officers
11-1011.03,2.B.2.i,Complex Problem Solving,IM,4.00,Chief Sustainability Officers
11-1011.03,2.B.3.a,Operations Analysis,IM,2.88,Chief Sustainability Officers
11-1011.03,2.B.3.b,Technology Design,IM,1.88,Chief Sustainability Officers
11-1011.03,2.B.3.c,Equipment Selection,IM,1.12,Chief Sustainability Officers
11-1011.03,2.B.3.d,Installation,IM,1.00,Chief Sustainability Officers
11-1011.03,2.B.3.e,Programming,IM,1.88,Chief Sustainability Officers
11-1011.03,2.B.3.g,Operations Monitoring,IM,2.00,Chief Sustainability Officers
11-1011.03,2.B.3.h,Operation and Control,IM,2.00,Chief Sustainability Officers
11-1011.03,2.B.3.j,Equipment Maintenance,IM,1.00,Chief Sustainability Officers
11-1011.03,2.B.3.k,Troubleshooting,IM,1.00,Chief Sustainability Officers
11-1011.03,2.B.3.l,Repairing,IM,1.00,Chief Sustainability Officers
11-1011.03,2.B.3.m,Quality Control Analysis,IM,1.88,Chief Sustainability Officers
11-1011.03,2.B.4.e,Judgment and Decision Making,IM,3.88,Chief Sustainability Officers
11-1011.03,2.B.4.g,Systems Analysis,IM,3.88,Chief Sustainability Officers
11-1011.03,2.B.4.h,Systems Evaluation,IM,3.88,Chief Sustainability Officers
11-1011.03,2.B.5.a,Time Management,IM,3.38,Chief Sustainability Officers
11-1011.03,2.B.5.b,Management of Financial Resources,IM,2.88,Chief Sustainability Officers
