resume_id,bullet_id,bullet_text,task,score
642,1,"LLM Fine-Tuning & Evaluation (Healthcare Analytics): Fine Tuned a LLM on laboratory data, and evaluated against baseline LLM, allowing for open discussion on tradeoffs.",Evaluate and recommend upgrades or improvements to existing computerized healthcare systems.,0.40684670209884644
642,1,"LLM Fine-Tuning & Evaluation (Healthcare Analytics): Fine Tuned a LLM on laboratory data, and evaluated against baseline LLM, allowing for open discussion on tradeoffs.",Monitor clinical trials or experiments to ensure adherence to established procedures or to verify the quality of data collected.,0.4067428708076477
642,1,"LLM Fine-Tuning & Evaluation (Healthcare Analytics): Fine Tuned a LLM on laboratory data, and evaluated against baseline LLM, allowing for open discussion on tradeoffs.",Train other analysts to perform laboratory procedures and assays.,0.4058404564857483
642,1,"LLM Fine-Tuning & Evaluation (Healthcare Analytics): Fine Tuned a LLM on laboratory data, and evaluated against baseline LLM, allowing for open discussion on tradeoffs.","Prepare data analysis listings and activity, performance, or progress reports.",0.4019118845462799
642,1,"LLM Fine-Tuning & Evaluation (Healthcare Analytics): Fine Tuned a LLM on laboratory data, and evaluated against baseline LLM, allowing for open discussion on tradeoffs.","Plan, develop, maintain, or operate a variety of health record indexes or storage and retrieval systems to collect, classify, store, or analyze information.",0.3989940881729126
642,2,Created an automated process using Cursor AI to interpret complex SQL code and craft operational definitions and examples for over 100 Key Performance Indicators.This allows our AI Chat Bot to answer customer questions within the context of the metric.,Select and enter codes to monitor database performance and to create production databases.,0.4906204342842102
642,2,Created an automated process using Cursor AI to interpret complex SQL code and craft operational definitions and examples for over 100 Key Performance Indicators.This allows our AI Chat Bot to answer customer questions within the context of the metric.,"Identify, evaluate and recommend hardware or software technologies to achieve desired database performance.",0.48961812257766724
642,2,Created an automated process using Cursor AI to interpret complex SQL code and craft operational definitions and examples for over 100 Key Performance Indicators.This allows our AI Chat Bot to answer customer questions within the context of the metric.,"Write and code logical and physical database descriptions, and specify identifiers of database to management system or direct others in coding descriptions.",0.48029854893684387
642,2,Created an automated process using Cursor AI to interpret complex SQL code and craft operational definitions and examples for over 100 Key Performance Indicators.This allows our AI Chat Bot to answer customer questions within the context of the metric.,"Write and code logical and physical database descriptions and specify identifiers of database to management system, or direct others in coding descriptions.",0.478061318397522
642,2,Created an automated process using Cursor AI to interpret complex SQL code and craft operational definitions and examples for over 100 Key Performance Indicators.This allows our AI Chat Bot to answer customer questions within the context of the metric.,"Generate data queries, based on validation checks or errors and omissions identified during data entry, to resolve identified problems.",0.46382904052734375
